importance,var
0.00023648411460939695,L0_S22_F566
0.0003404012249510713,L0_S22_F571
0.00012756155167460974,L0_S22_F576
0.00018842347917164275,L0_S22_F581
0.00016556768603505912,L0_S22_F586
0.0002108232370188371,L0_S22_F591
0.00021263168481710013,L0_S22_F596
0.00019485017269731632,L0_S22_F601
0.00033256707929645393,L0_S22_F606
0.0002257815773805444,L0_S22_F611
0.00034796615253825916,L0_S23_F619
0.0003252805390896432,L0_S23_F623
0.0006090318761394626,L0_S23_F627
0.00029682557563944244,L0_S23_F631
0.0002871327876038799,L0_S23_F635
0.0003331983824314099,L0_S23_F639
0.00033087866476692694,L0_S23_F643
0.00015328974553809548,L0_S23_F647
0.00020311651072892623,L0_S23_F651
0.00023543570495274753,L0_S23_F655
0.0002862622688743614,L0_S23_F659
0.00036103142937754474,L0_S23_F663
0.00027363287405350443,L0_S23_F667
0.00029898126692891607,L0_S23_F671
7.868965577783261e-05,L1_S24_F679
4.432603447376023e-05,L1_S24_F683
1.5988169188222558e-05,L1_S24_F687
0.00010890679137640797,L1_S24_F691
9.40337831131614e-05,L1_S24_F700
1.3064910850888619e-05,L1_S24_F719
3.278680925507609e-05,L1_S24_F728
6.494773141303716e-05,L1_S24_F733
1.3105680579338133e-05,L1_S24_F746
6.653104591625305e-06,L1_S24_F751
0.0,L1_S24_F756
7.676279088936756e-07,L1_S24_F761
1.3742928259738078e-05,L1_S24_F766
8.30787582289531e-06,L1_S24_F775
8.254284221047431e-06,L1_S24_F780
0.0,L1_S24_F785
8.23524786471791e-06,L1_S24_F790
1.4876501785528213e-05,L1_S24_F795
0.0004979728377130762,L1_S24_F800
5.800479382570291e-05,L1_S24_F802
2.288973847995172e-05,L1_S24_F806
2.4035086379585565e-05,L1_S24_F808
1.151816810806777e-05,L1_S24_F810
6.529008498685054e-05,L1_S24_F812
5.141271711489906e-05,L1_S24_F814
9.463455407268497e-05,L1_S24_F816
0.0003994263235680592,L1_S24_F829
0.00012177550482957688,L1_S24_F834
2.991486705676854e-05,L1_S24_F839
4.764947127803491e-05,L1_S24_F844
2.8528262342958763e-05,L1_S24_F857
2.5160431332223847e-05,L1_S24_F862
0.000111417315404186,L1_S24_F867
5.096648914196388e-05,L1_S24_F872
9.550661847054872e-05,L1_S24_F877
2.4788866477551805e-05,L1_S24_F882
2.380486549904408e-05,L1_S24_F887
2.7571933201814032e-05,L1_S24_F892
4.097476689925897e-05,L1_S24_F897
3.123446946828803e-05,L1_S24_F902
2.6747523722531302e-05,L1_S24_F907
2.1530233655908595e-05,L1_S24_F920
1.935561750802373e-05,L1_S24_F925
1.5363847787298123e-05,L1_S24_F930
3.6161395733608224e-05,L1_S24_F935
5.857515563639672e-05,L1_S24_F948
4.7502850720894094e-05,L1_S24_F953
2.9109587555698666e-05,L1_S24_F958
6.432467622304988e-05,L1_S24_F963
2.886682822959467e-05,L1_S24_F968
5.179585307343185e-05,L1_S24_F973
9.574523041462117e-05,L1_S24_F978
3.3021306561369946e-05,L1_S24_F983
0.0002973956937151237,L1_S24_F988
2.4108398442467117e-05,L1_S24_F993
3.956930007511611e-06,L1_S24_F998
1.051815160653352e-05,L1_S24_F1000
1.7245183103137167e-05,L1_S24_F1002
2.23080930113019e-05,L1_S24_F1004
1.1753067529940604e-06,L1_S24_F1006
9.93272699179653e-06,L1_S24_F1008
1.9189545445668817e-05,L1_S24_F1010
3.745161068219818e-05,L1_S24_F1012
2.1461424354468143e-05,L1_S24_F1014
8.983273227598441e-05,L1_S24_F1016
1.2566935591288393e-05,L1_S24_F1021
2.4232585959099063e-05,L1_S24_F1026
8.107158960084693e-05,L1_S24_F1031
